GameRound,ground,Hands,Backhands,Season,Ages,prize,Rank,Sets
Round of 16,Grass,Right,Two,Spring,9,50000,45,3
Round of 32,Grass,Right,Two,Spring,3,50000,17,3
Round of 32,Grass,Right - Left,Two,Spring,1,50000,40,3
Semi-Finals,Grass,Right,Two,Spring,6,50000,270,2
Quarter-Finals,Grass,Right - Left,Two,Spring,4,50000,36,3
Round of 32,Grass,Right - Left,Two,Spring,11,50000,103,3
Round of 32,Grass,Right,Two,Spring,1,50000,144,3
Round of 32,Grass,Right,Two,Spring,4,50000,197,2
Round of 16,Grass,Right,Two,Spring,3,50000,271,3
Round of 32,Grass,Right - Left,Two,Spring,1,50000,26,3
Round of 16,Grass,Right - Left,Two,Spring,3,50000,63,2
Round of 32,Grass,Right - Left,One - Two,Spring,1,50000,62,2
Round of 32,Grass,Right,Two,Spring,2,50000,70,3
Quarter-Finals,Grass,Right,Two,Spring,9,50000,58,2
Round of 16,Grass,Right,Two,Spring,1,50000,46,3
Round of 32,Grass,Right - Left,Two,Spring,0,50000,41,3
Round of 32,Grass,Right,Two,Spring,8,50000,248,2
Round of 32,Grass,Right - Left,Two,Spring,8,50000,129,2
Round of 16,Grass,Right - Left,Two,Spring,0,50000,67,2
Round of 32,Grass,Right - Left,Two,Spring,3,50000,71,2
Round of 32,Hard,Right,One,Autumn,6,675000,381,2
Round of 32,Hard,Right - Left,One - Two,Autumn,5,675000,38,3
Round of 16,Hard,Right - Left,Two,Autumn,1,675000,26,3
Semi-Finals,Hard,Right - Left,One,Autumn,8,675000,86,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,5,675000,23,2
Round of 32,Hard,Right - Left,Two,Autumn,2,675000,19,3
Round of 32,Hard,Right - Left,Two,Autumn,8,675000,47,3
Round of 32,Hard,Right,Two,Autumn,5,675000,30,3
Round of 32,Hard,Right - Left,Two,Autumn,5,675000,435,3
Round of 32,Hard,Right,Two,Autumn,4,675000,8,3
Round of 16,Hard,Right,Two,Autumn,2,675000,1,2
Round of 32,Hard,Right,Two,Autumn,1,675000,107,2
Round of 32,Hard,Right,One - Two,Autumn,6,675000,26,3
Round of 16,Hard,Right - Left,Two,Autumn,4,675000,435,2
Round of 32,Hard,Right,One - Two,Autumn,1,675000,16,2
Semi-Finals,Hard,Right,One - Two,Autumn,5,675000,3,2
Round of 32,Hard,Right - Left,Two,Autumn,7,675000,18,2
Round of 32,Hard,Right,One,Autumn,3,675000,105,3
Round of 16,Hard,Right,One,Autumn,2,675000,115,2
Quarter-Finals,Hard,Right - Left,One,Autumn,5,675000,37,2
Round of 16,Hard,Right,One,Autumn,6,675000,59,2
Quarter-Finals,Hard,Right,One,Autumn,7,675000,78,3
Round of 16,Hard,Right,Two,Autumn,2,675000,5,3
Round of 32,Hard,Right,Two,Autumn,7,675000,6,3
Round of 16,Hard,Left,Two,Autumn,6,675000,2,3
Round of 32,Hard,Left,Two,Autumn,8,675000,29,2
Round of 32,Hard,Right,Two,Autumn,0,675000,15,2
Semi-Finals,Hard,Right,Two,Spring,2,50000,46,2
Round of 32,Hard,Right,Two,Spring,1,50000,145,2
Round of 16,Hard,Right,Two,Spring,1,50000,153,3
Finals,Hard,Right - Left,One,Spring,2,50000,84,2
Round of 16,Hard,Right,Two,Spring,0,50000,52,3
Quarter-Finals,Hard,Right - Left,Two,Spring,8,50000,435,2
Round of 32,Hard,Right,Two,Spring,2,50000,75,2
Round of 32,Hard,Right,Two,Spring,1,50000,20,2
Round of 32,Hard,Right - Left,Two,Spring,6,50000,435,2
Round of 16,Hard,Right,Two,Spring,6,50000,180,2
Round of 32,Hard,Right,Two,Spring,0,50000,106,2
Round of 32,Hard,Right,Two,Spring,3,50000,173,3
Round of 32,Hard,Right - Left,One,Spring,2,50000,192,3
Semi-Finals,Hard,Right - Left,One,Spring,8,50000,77,2
Round of 32,Carpet,Right,Two,Autumn,1,675000,31,2
Round of 32,Carpet,Right,Two,Autumn,1,675000,28,2
Round of 16,Carpet,Right,One,Autumn,3,675000,5,3
Quarter-Finals,Carpet,Right - Left,One,Autumn,0,675000,15,2
Round of 16,Carpet,Left,One,Autumn,6,675000,6,2
Round of 32,Carpet,Right - Left,Two,Autumn,1,675000,36,2
Round of 16,Carpet,Right,Two,Autumn,3,675000,23,2
Round of 32,Carpet,Right,Two,Autumn,1,675000,50,2
Semi-Finals,Carpet,Right - Left,Two,Autumn,1,675000,10,2
Quarter-Finals,Carpet,Right,Two,Autumn,2,675000,5,2
Round of 32,Carpet,Right,Two,Autumn,5,675000,4,2
Round of 32,Carpet,Right,One,Autumn,4,675000,26,2
Round of 16,Carpet,Right,One,Autumn,3,675000,36,2
Round of 32,Carpet,Right,One,Autumn,4,675000,145,2
Round of 16,Carpet,Right - Left,One,Autumn,2,675000,71,3
Quarter-Finals,Carpet,Right,One,Autumn,3,675000,9,2
Semi-Finals,Carpet,Right,One,Autumn,1,675000,28,2
Round of 32,Carpet,Right - Left,One,Autumn,5,675000,22,2
Round of 32,Carpet,Right,One,Autumn,3,675000,4,3
Round of 32,Carpet,Left,One,Autumn,3,675000,9,2
Round of 32,Carpet,Right,One,Autumn,7,675000,24,2
Round of 16,Carpet,Right,One,Autumn,0,675000,9,3
Quarter-Finals,Carpet,Right,Two,Autumn,1,675000,13,2
Round of 32,Carpet,Right,Two,Autumn,7,675000,4,3
Round of 16,Carpet,Right - Left,One - Two,Autumn,2,675000,24,2
Round of 16,Carpet,Right,Two,Autumn,5,25000,51,2
Quarter-Finals,Carpet,Right,One,Autumn,6,25000,2,2
Round of 32,Carpet,Right,One,Autumn,8,25000,135,2
Round of 16,Carpet,Right - Left,One,Autumn,7,25000,76,3
Quarter-Finals,Carpet,Right - Left,One,Autumn,12,25000,87,2
Round of 32,Carpet,Right,Two,Autumn,8,25000,1,2
Round of 16,Carpet,Right,Two,Autumn,5,25000,146,2
Finals,Carpet,Right,One,Autumn,4,25000,143,2
Semi-Finals,Carpet,Right,One,Autumn,5,25000,49,2
Round of 16,Carpet,Right,One,Autumn,0,25000,47,3
Quarter-Finals,Carpet,Right,One,Autumn,8,25000,435,3
Round of 32,Carpet,Right,One - Two,Autumn,1,25000,156,3
Round of 32,Carpet,Right,Two,Autumn,6,25000,55,2
Round of 32,Carpet,Right,One,Autumn,5,25000,28,2
Round of 32,Carpet,Right,Two,Autumn,0,25000,54,3
Round of 16,Carpet,Right,One,Autumn,6,25000,35,2
Quarter-Finals,Carpet,Right,Two,Autumn,1,25000,4,2
Round of 32,Carpet,Right - Left,Two,Autumn,3,25000,1,3
Round of 32,Carpet,Right - Left,Two,Autumn,12,25000,93,2
Round of 32,Carpet,Right,Two,Autumn,6,25000,312,3
Round of 64,Clay,Right,Two,Summer,1,150000,69,3
Round of 64,Clay,Right,Two,Summer,4,150000,266,2
Round of 64,Clay,Right,One,Summer,3,150000,134,2
Round of 32,Clay,Right,One,Summer,5,150000,87,2
Round of 64,Clay,Right,Two,Summer,6,150000,93,2
Round of 64,Clay,Right,Two,Summer,5,150000,85,2
Round of 16,Clay,Right - Left,Two,Summer,4,150000,57,3
Round of 64,Clay,Right - Left,Two,Summer,9,150000,88,2
Round of 64,Clay,Right,Two,Summer,3,150000,309,2
Round of 64,Clay,Right,Two,Summer,3,150000,382,3
Quarter-Finals,Clay,Right - Left,Two,Summer,2,150000,81,2
Round of 32,Clay,Right,Two,Summer,0,150000,60,2
Round of 16,Clay,Right,Two,Summer,2,150000,51,3
Round of 32,Clay,Right,Two,Summer,0,150000,57,3
Round of 16,Clay,Right,One,Summer,3,150000,78,2
Quarter-Finals,Clay,Right,Two,Summer,2,150000,49,2
Round of 64,Clay,Right,Two,Summer,4,150000,103,2
Round of 32,Clay,Right,Two,Summer,2,150000,177,3
Round of 64,Clay,Right,Two,Summer,2,150000,218,2
Round of 16,Carpet,Right,One - Two,Winter,1,10000,124,2
Round of 32,Carpet,Right - Left,Two,Winter,0,10000,213,3
Round of 32,Carpet,Right - Left,One,Winter,0,10000,280,3
Round of 32,Carpet,Right,Two,Winter,2,10000,435,2
Round of 16,Carpet,Right - Left,Two,Winter,12,10000,26,2
Round of 32,Carpet,Right,One,Winter,12,10000,187,3
Semi-Finals,Carpet,Right,One,Winter,12,10000,435,2
Quarter-Finals,Carpet,Right,One,Winter,12,10000,299,3
Round of 16,Carpet,Right,One,Winter,2,10000,210,2
Quarter-Finals,Carpet,Right,One,Winter,2,10000,182,2
Round of 32,Clay,Right,Two,Summer,1,25000,358,2
Round of 32,Clay,Right,Two,Summer,2,25000,317,3
Round of 16,Clay,Right,Two,Summer,2,25000,385,3
Round of 16,Clay,Right,Two,Summer,0,25000,191,3
Semi-Finals,Clay,Right,One - Two,Summer,4,25000,37,2
Round of 16,Clay,Right,One,Summer,2,25000,315,2
Quarter-Finals,Clay,Right,One,Summer,1,25000,178,3
Round of 32,Clay,Right,One,Summer,1,25000,216,2
Round of 16,Clay,Right,One,Summer,1,25000,175,2
Round of 32,Clay,Right - Left,Two,Summer,3,25000,223,2
Round of 32,Clay,Right,Two,Summer,4,25000,11,2
Round of 16,Clay,Right,Two,Summer,3,25000,181,3
Finals,Clay,Right,Two,Summer,2,25000,13,2
Quarter-Finals,Clay,Right,One - Two,Summer,1,25000,177,2
Round of 32,Clay,Right,Two,Summer,7,25000,435,2
Round of 16,Clay,Right,One,Summer,12,25000,341,3
Quarter-Finals,Clay,Right,Two,Summer,7,25000,100,3
Round of 32,Clay,Right,Two,Summer,9,25000,435,2
Round of 16,Clay,Right,Two,Summer,7,25000,435,2
Round of 16,Carpet,Right,Two,Autumn,7,280000,60,3
Round of 32,Carpet,Right,Two,Autumn,0,280000,59,3
Round of 16,Carpet,Right,Two,Autumn,2,280000,215,3
Round of 32,Carpet,Right,Two,Autumn,5,280000,16,3
Quarter-Finals,Carpet,Right,Two,Autumn,0,280000,435,2
Round of 32,Carpet,Right,Two,Autumn,7,280000,22,2
Round of 16,Carpet,Right,Two,Autumn,9,280000,45,2
Round of 32,Carpet,Right,Two,Autumn,12,280000,33,2
Round of 32,Carpet,Right,Two,Autumn,1,280000,31,2
Round of 16,Carpet,Right,Two,Autumn,6,280000,84,3
Round of 32,Carpet,Right - Left,Two,Autumn,2,280000,435,2
Round of 32,Carpet,Right,Two,Autumn,0,280000,241,2
Round of 32,Carpet,Right - Left,Two,Autumn,12,280000,44,3
Round of 32,Carpet,Right - Left,Two,Autumn,4,280000,37,2
Semi-Finals,Carpet,Right - Left,Two,Autumn,1,280000,55,3
Quarter-Finals,Carpet,Right - Left,Two,Autumn,8,280000,47,2
Round of 16,Carpet,Right - Left,Two,Autumn,6,280000,77,2
Round of 32,Carpet,Right,Two,Autumn,2,280000,6,2
Round of 16,Carpet,Right - Left,Two,Autumn,4,280000,33,2
Round of 32,Carpet,Right - Left,Two,Autumn,2,280000,8,2
Quarter-Finals,Carpet,Right - Left,Two,Autumn,9,280000,32,3
Round of 32,Carpet,Right,Two,Autumn,0,280000,42,2
Quarter-Finals,Carpet,Right - Left,One,Autumn,2,280000,86,2
Round of 32,Carpet,Right - Left,One,Autumn,2,280000,137,2
Round of 16,Carpet,Right - Left,One,Autumn,0,280000,84,2
Semi-Finals,Carpet,Left,One,Autumn,2,280000,54,3
Round of 32,Carpet,Right,Two,Autumn,1,280000,55,2
Round of 32,Carpet,Right,Two,Autumn,4,280000,435,3
Round of 16,Carpet,Right - Left,Two,Autumn,5,280000,286,3
Round of 32,Clay,Right,Two,Summer,2,337500,146,3
Round of 64,Clay,Right - Left,Two,Summer,2,337500,153,2
Round of 32,Clay,Right,Two,Summer,5,337500,83,2
Round of 16,Clay,Right,Two,Summer,1,337500,29,2
Round of 32,Clay,Right,Two,Summer,0,337500,126,2
Round of 16,Clay,Right,Two,Summer,0,337500,119,3
Round of 64,Clay,Right - Left,Two,Summer,0,337500,25,2
Round of 64,Clay,Right - Left,Two,Summer,9,337500,43,2
Round of 64,Clay,Right,Two,Summer,5,337500,8,3
Round of 64,Clay,Right,Two,Summer,3,337500,89,3
Round of 32,Clay,Right,One,Summer,3,337500,39,2
Round of 64,Clay,Right,Two,Summer,12,337500,435,3
Quarter-Finals,Clay,Right,Two,Summer,5,337500,47,2
Round of 32,Clay,Right,Two,Summer,3,337500,155,3
Round of 64,Clay,Right - Left,Two,Summer,12,337500,110,2
Round of 64,Clay,Right,Two,Summer,5,337500,103,2
Round of 32,Clay,Right,Two,Summer,1,337500,122,3
Quarter-Finals,Clay,Right - Left,One,Summer,1,337500,19,2
Round of 32,Clay,Right,Two,Summer,0,337500,99,3
Round of 16,Clay,Right,Two,Summer,1,337500,13,3
Quarter-Finals,Clay,Right,Two,Summer,3,337500,34,2
Semi-Finals,Clay,Right,Two,Summer,4,337500,10,3
Round of 32,Clay,Right,Two,Summer,1,337500,127,2
Round of 32,Clay,Right,Two,Summer,3,337500,134,2
Round of 32,Clay,Right,Two,Summer,9,337500,435,2
Round of 64,Clay,Right - Left,Two,Summer,4,337500,1,3
Round of 32,Clay,Right,Two,Summer,5,337500,141,2
Round of 64,Clay,Right,Two,Summer,3,337500,33,3
Round of 64,Clay,Right - Left,One,Summer,6,337500,199,2
Round of 16,Clay,Right,Two,Summer,3,337500,1,2
Round of 32,Clay,Right,Two,Summer,5,337500,106,2
Round of 64,Clay,Right,Two,Summer,6,337500,23,3
Round of 32,Clay,Right - Left,One,Summer,10,337500,115,2
Round of 16,Clay,Right - Left,One,Summer,3,337500,110,2
Round of 32,Clay,Right,Two,Summer,9,337500,50,2
Round of 32,Clay,Right,Two,Summer,2,337500,128,2
Quarter-Finals,Hard,Right,One - Two,Autumn,9,1745040,97,2
Round of 16,Hard,Right,Two,Autumn,3,1745040,104,3
Round of 32,Hard,Right,One - Two,Autumn,8,1745040,405,3
Round of 16,Hard,Right,Two,Autumn,8,1745040,237,2
Quarter-Finals,Hard,Right,Two,Autumn,1,1745040,57,3
Round of 16,Hard,Right,Two,Autumn,4,1745040,50,2
Round of 32,Hard,Right - Left,Two,Autumn,2,1745040,12,3
Round of 32,Hard,Right,One,Autumn,5,1745040,8,2
Round of 16,Hard,Right,One,Autumn,7,1745040,46,2
1st Round Qualifying,Hard,Right,Two,Autumn,1,1745040,93,2
Round of 32,Hard,Right,One - Two,Autumn,2,1745040,46,3
Round of 32,Hard,Left,Two,Autumn,3,1745040,124,2
Round of 32,Hard,Right - Left,One - Two,Autumn,2,1745040,110,2
1st Round Qualifying,Hard,Right - Left,One,Autumn,6,1745040,192,2
2nd Round Qualifying,Hard,Left,One,Autumn,1,1745040,31,2
Round of 16,Hard,Right - Left,Two,Autumn,7,1745040,29,3
2nd Round Qualifying,Hard,Right - Left,One,Autumn,12,1745040,414,2
1st Round Qualifying,Hard,Right - Left,One,Autumn,12,1745040,435,2
Round of 32,Hard,Right,One - Two,Autumn,2,1745040,27,3
Round of 32,Hard,Right,Two,Autumn,12,1745040,37,2
Round of 32,Hard,Right,Two,Autumn,1,1745040,12,3
Semi-Finals,Hard,Right,Two,Autumn,2,1745040,70,2
Round of 16,Hard,Right,Two,Autumn,1,1745040,18,3
Quarter-Finals,Hard,Right,Two,Autumn,4,1745040,36,3
1st Round Qualifying,Hard,Right,Two,Autumn,9,1745040,292,2
2nd Round Qualifying,Hard,Right,Two,Autumn,4,1745040,46,2
Round of 32,Clay,Right,Two,Summer,2,10000,75,2
Quarter-Finals,Clay,Right,Two,Summer,2,10000,287,2
Round of 16,Clay,Right,Two,Summer,0,10000,155,3
Round of 32,Clay,Right,Two,Summer,3,10000,192,3
Round of 32,Clay,Right,Two,Summer,1,10000,44,2
Quarter-Finals,Clay,Left,Two,Summer,1,10000,121,3
Quarter-Finals,Clay,Right - Left,Two,Summer,2,10000,13,2
Round of 16,Clay,Right,Two,Summer,8,10000,435,2
Finals,Clay,Right - Left,Two,Summer,5,10000,38,2
Round of 32,Clay,Right,One,Spring,1,355000,435,3
Round of 32,Clay,Right,One - Two,Spring,4,355000,55,2
Finals,Clay,Right,Two,Spring,1,355000,30,2
Round of 16,Clay,Right,One - Two,Spring,1,355000,348,2
Quarter-Finals,Clay,Right,One - Two,Spring,11,355000,71,2
Round of 16,Clay,Right,One,Spring,3,355000,73,3
Round of 32,Clay,Right,Two,Spring,5,355000,2,2
Round of 32,Clay,Right - Left,Two,Spring,7,355000,7,3
Round of 16,Clay,Right,Two,Spring,5,355000,30,2
Quarter-Finals,Clay,Right,Two,Spring,6,355000,21,2
Round of 32,Clay,Right,Two,Spring,0,355000,194,2
Round of 32,Clay,Right,Two,Spring,1,355000,20,2
Round of 32,Clay,Right,One - Two,Spring,3,355000,25,2
Round of 32,Clay,Right,Two,Spring,4,355000,15,2
Round of 16,Clay,Right - Left,Two,Spring,1,355000,34,2
Round of 32,Clay,Right,One - Two,Spring,3,355000,38,3
Round of 16,Clay,Right,Two,Spring,1,355000,7,2
Quarter-Finals,Clay,Right,Two,Spring,2,355000,15,2
Round of 32,Clay,Right,Two,Spring,5,355000,8,2
Quarter-Finals,Clay,Right,Two,Spring,9,355000,46,2
Round of 32,Clay,Right,Two,Spring,0,355000,36,2
Semi-Finals,Clay,Right,Two,Spring,3,355000,20,2
Round of 32,Clay,Right - Left,One,Spring,2,355000,265,3
Round of 16,Clay,Right,One,Spring,8,355000,2,3
Round of 16,Grass,Right,Two,Spring,5,50000,60,2
Round of 32,Grass,Right,Two,Spring,2,50000,12,3
Round of 32,Grass,Right - Left,One,Spring,2,50000,285,3
Round of 32,Grass,Right,Two,Spring,0,50000,435,3
Round of 32,Grass,Right,One,Spring,7,50000,31,3
Round of 16,Grass,Left,Two,Spring,1,50000,59,2
Round of 32,Grass,Right - Left,Two,Spring,1,50000,44,2
Round of 16,Grass,Right - Left,Two,Spring,0,50000,67,3
Quarter-Finals,Grass,Right,Two,Spring,2,50000,23,3
Finals,Grass,Right - Left,Two,Spring,4,50000,82,2
Semi-Finals,Grass,Right,One,Spring,6,50000,139,3
Round of 32,Grass,Right - Left,Two,Spring,1,50000,183,3
Round of 32,Grass,Right,Two,Spring,6,50000,95,2
Round of 16,Grass,Right,Two,Spring,3,50000,3,2
Quarter-Finals,Grass,Left,Two,Spring,3,50000,104,2
Round of 32,Grass,Right - Left,Two,Spring,0,50000,103,3
Round of 16,Grass,Right - Left,Two,Spring,0,50000,109,2
Round of 32,Grass,Left,Two,Spring,0,50000,69,2
Round of 32,Grass,Right,One,Spring,5,50000,47,2
Round of 32,Grass,Right,Two,Spring,2,50000,233,2
Round of 32,Grass,Right - Left,Two,Spring,2,50000,24,3
Round of 32,Grass,Right,One,Spring,9,50000,60,2
Quarter-Finals,Grass,Right,One,Spring,4,50000,127,3
Round of 16,Grass,Right - Left,One,Spring,0,50000,96,2
Round of 32,Grass,Right - Left,Two,Spring,5,50000,36,2
Round of 32,Clay,Right,Two,Summer,12,10000,348,3
Round of 16,Clay,Right,One,Summer,2,10000,238,3
Round of 16,Clay,Right,Two,Summer,12,524340,60,2
Round of 32,Clay,Right,Two,Summer,8,524340,18,3
Quarter-Finals,Clay,Right,One - Two,Summer,12,524340,12,2
Round of 32,Clay,Right - Left,Two,Summer,5,524340,161,2
Semi-Finals,Clay,Right,One,Summer,1,524340,52,2
Quarter-Finals,Clay,Right,One,Summer,8,524340,71,2
Round of 16,Clay,Right,One,Summer,2,524340,163,2
Round of 16,Clay,Right - Left,Two,Summer,9,524340,294,2
1st Round Qualifying,Clay,Right,Two,Summer,2,524340,144,2
Round of 32,Clay,Right,Two,Summer,8,524340,6,3
Round of 16,Clay,Right,One - Two,Summer,3,524340,48,3
Round of 32,Clay,Right,One - Two,Summer,6,524340,12,2
Round of 32,Clay,Right - Left,Two,Summer,4,524340,7,3
Quarter-Finals,Clay,Right - Left,Two,Summer,11,524340,24,2
Round of 16,Clay,Right,Two,Summer,2,524340,20,3
1st Round Qualifying,Clay,Right,One,Summer,9,524340,156,2
Round of 32,Clay,Right - Left,Two,Summer,2,524340,65,3
Round of 32,Clay,Right,One - Two,Summer,1,524340,6,3
Round of 16,Clay,Right,One - Two,Summer,2,524340,2,2
Round of 16,Clay,Right,One,Summer,8,524340,66,3
Round of 32,Clay,Right,One,Summer,2,524340,5,2
Round of 32,Clay,Right,Two,Summer,0,524340,13,3
Round of 32,Clay,Right,One - Two,Summer,0,524340,91,2
Semi-Finals,Hard,Right,Two,Autumn,6,125000,21,2
Round of 32,Hard,Right,Two,Autumn,5,125000,193,2
Quarter-Finals,Hard,Right,Two,Autumn,3,125000,242,3
Round of 32,Hard,Right,Two,Autumn,0,125000,182,3
Round of 32,Hard,Right,Two,Autumn,4,125000,164,2
Quarter-Finals,Hard,Right,One,Autumn,3,125000,19,3
Round of 16,Hard,Right,Two,Autumn,1,125000,57,2
Round of 32,Hard,Right - Left,Two,Autumn,6,125000,62,3
Quarter-Finals,Hard,Right,Two,Autumn,3,125000,115,2
Round of 16,Hard,Right - Left,One,Autumn,0,125000,11,3
Semi-Finals,Hard,Right,Two,Autumn,3,125000,2,3
Round of 32,Hard,Right,Two,Autumn,5,125000,49,2
Round of 32,Hard,Right,One,Autumn,2,125000,167,2
Round of 32,Hard,Right,Two,Autumn,0,125000,211,2
Round of 16,Hard,Right,Two,Autumn,1,125000,40,2
Round of 32,Hard,Right - Left,Two,Autumn,4,125000,120,2
Round of 32,Hard,Right,Two,Autumn,1,125000,81,2
Quarter-Finals,Clay,Right - Left,Two,Summer,5,10000,101,2
Round of 32,Clay,Right - Left,One,Summer,3,10000,384,3
Round of 16,Clay,Right - Left,One - Two,Summer,1,10000,285,2
Round of 32,Clay,Right,Two,Summer,5,10000,367,2
Round of 32,Clay,Right,One,Summer,9,10000,435,3
Quarter-Finals,Clay,Right - Left,Two,Summer,10,10000,152,3
Round of 32,Carpet,Right - Left,Two,Spring,7,75000,435,3
Finals,Carpet,Right,Two,Spring,0,75000,52,3
Round of 16,Carpet,Right,Two,Spring,6,75000,145,3
Quarter-Finals,Carpet,Right,Two,Spring,5,75000,187,2
Semi-Finals,Carpet,Right,Two,Spring,4,75000,315,2
Round of 32,Carpet,Right,Two,Spring,3,75000,317,2
Round of 16,Carpet,Right - Left,Two,Spring,2,75000,367,2
Quarter-Finals,Carpet,Right - Left,One,Spring,1,75000,279,2
Round of 32,Carpet,Right,Two,Spring,2,75000,435,3
Round of 16,Carpet,Right,Two,Spring,3,75000,37,2
Round of 32,Carpet,Right - Left,One,Spring,1,75000,71,2
Round of 32,Clay,Right,Two,Summer,11,100000,9,3
Round of 32,Clay,Right - Left,Two,Summer,0,100000,258,2
Round of 16,Clay,Right - Left,Two,Summer,5,100000,48,2
Round of 32,Clay,Right,Two,Summer,4,100000,10,2
Round of 32,Clay,Right - Left,Two,Summer,10,100000,388,3
Round of 32,Clay,Right,Two,Summer,2,100000,111,2
Finals,Clay,Right - Left,Two,Summer,1,100000,100,2
Quarter-Finals,Clay,Right,Two,Summer,4,100000,98,2
Semi-Finals,Clay,Right,Two,Summer,1,100000,70,2
Round of 16,Clay,Right,Two,Summer,9,100000,407,2
Round of 32,Clay,Right,Two,Summer,1,100000,76,2
Semi-Finals,Clay,Right - Left,Two,Summer,3,100000,32,2
Round of 16,Clay,Right,Two,Summer,3,100000,62,3
Round of 32,Clay,Right,Two,Summer,6,100000,63,2
Round of 32,Clay,Right - Left,Two,Summer,5,100000,137,3
Quarter-Finals,Clay,Right,Two,Summer,6,100000,35,2
Round of 16,Clay,Right,Two,Summer,3,100000,49,2
Round of 32,Clay,Right,Two,Summer,12,100000,94,2
Round of 32,Clay,Right,Two,Summer,2,100000,83,3
Round of 32,Clay,Right,Two,Summer,3,100000,16,3
Quarter-Finals,Clay,Right - Left,Two,Summer,6,100000,86,3
Round of 16,Clay,Right,Two,Summer,8,100000,72,2
Finals,Clay,Right,Two,Summer,0,10000,11,3
Quarter-Finals,Clay,Right,Two,Summer,0,10000,133,2
Quarter-Finals,Clay,Right,One,Summer,5,10000,117,3
Round of 16,Clay,Right,One,Summer,0,10000,422,2
Semi-Finals,Clay,Right,One - Two,Summer,5,10000,111,2
Round of 16,Carpet,Right,Two,Winter,0,25000,72,2
Quarter-Finals,Carpet,Right,Two,Winter,5,25000,406,2
Round of 32,Carpet,Right,Two,Winter,4,25000,339,2
Finals,Carpet,Right,Two,Winter,3,25000,30,2
Semi-Finals,Carpet,Right,Two,Winter,2,25000,347,2
Round of 32,Carpet,Right,Two,Winter,1,25000,19,2
Quarter-Finals,Carpet,Right,Two,Winter,2,25000,107,2
Round of 32,Carpet,Right,Two,Winter,2,25000,45,3
Round of 32,Carpet,Right,Two,Winter,3,25000,274,2
Round of 16,Carpet,Right,Two,Winter,4,10000,25,2
Round of 32,Carpet,Right - Left,Two,Winter,4,10000,435,2
Quarter-Finals,Carpet,Right,Two,Winter,1,10000,110,3
Round of 32,Carpet,Right,Two,Winter,9,10000,162,3
Round of 16,Hard,Right - Left,Two,Autumn,0,486750,98,3
1st Round Qualifying,Hard,Right,One,Autumn,8,486750,58,2
3rd Round Qualifying,Hard,Right,One,Autumn,0,486750,8,3
Round of 32,Hard,Right - Left,One,Autumn,1,486750,2,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,5,486750,99,3
Round of 32,Hard,Right,One,Autumn,5,486750,343,2
Round of 32,Hard,Right - Left,Two,Autumn,2,486750,143,2
2nd Round Qualifying,Hard,Right,Two,Autumn,1,486750,144,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,8,486750,324,2
Round of 32,Hard,Right,Two,Autumn,3,486750,420,2
Round of 16,Hard,Left,Two,Autumn,2,486750,44,3
Quarter-Finals,Hard,Right - Left,Two,Autumn,1,486750,1,2
Round of 32,Hard,Right - Left,One - Two,Autumn,1,486750,6,3
Semi-Finals,Hard,Right,Two,Autumn,2,486750,61,3
Round of 16,Hard,Right,Two,Autumn,2,486750,50,2
1st Round Qualifying,Hard,Right,Two,Autumn,6,486750,435,2
Round of 16,Hard,Right,Two,Autumn,4,486750,150,2
Round of 32,Hard,Right - Left,Two,Autumn,5,486750,2,2
Round of 16,Hard,Right,One - Two,Autumn,1,486750,103,3
Semi-Finals,Hard,Right - Left,Two,Autumn,5,486750,73,2
Finals,Hard,Right,Two,Autumn,2,486750,62,2
Quarter-Finals,Hard,Right,Two,Autumn,3,486750,47,2
Round of 16,Hard,Right,One - Two,Autumn,8,486750,339,2
Round of 32,Hard,Right,Two,Autumn,2,486750,5,3
1st Round Qualifying,Hard,Right,One,Autumn,3,486750,222,2
Round of 32,Hard,Right,One - Two,Autumn,7,486750,30,3
1st Round Qualifying,Hard,Right,One - Two,Autumn,2,486750,435,2
Round of 32,Hard,Right,Two,Autumn,7,486750,36,2
1st Round Qualifying,Hard,Right - Left,Two,Autumn,1,486750,9,2
2nd Round Qualifying,Hard,Right - Left,Two,Autumn,7,486750,2,2
3rd Round Qualifying,Hard,Right - Left,Two,Autumn,1,486750,61,2
2nd Round Qualifying,Hard,Right - Left,One - Two,Autumn,2,486750,272,2
3rd Round Qualifying,Hard,Right,Two,Autumn,5,486750,26,3
2nd Round Qualifying,Hard,Right,Two,Autumn,6,486750,79,2
Round of 32,Carpet,Right,Two,Summer,11,10000,381,2
Round of 32,Carpet,Right - Left,Two,Summer,8,10000,229,2
Round of 32,Carpet,Right,Two,Summer,12,10000,334,2
Round of 16,Carpet,Right,Two,Summer,8,10000,435,2
Round of 16,Clay,Right - Left,Two,Summer,4,10000,127,3
Finals,Clay,Right - Left,One - Two,Summer,1,10000,412,3
Semi-Finals,Clay,Right,Two,Summer,5,25000,71,2
Quarter-Finals,Clay,Right,Two,Summer,1,25000,169,2
Round of 16,Clay,Right,Two,Summer,1,25000,196,2
Round of 32,Clay,Right,One,Summer,3,25000,72,2
Quarter-Finals,Clay,Right - Left,Two,Summer,0,25000,105,3
